,fecha,producto,precio_hoy,precio_reg,cantidad,medida
0,2022-12-11,Plátano Chiapas Alsuper Por Kg,$22.90,$26.90,1,KG
1,2022-12-11,Lechuga Bola Alsuper Por Pieza,$36.90,$56.90,1,PZ
2,2022-12-11,Pepino Orgánico Campo Vivo    2 Piez...,$36.90,$36.90,2,PZ
3,2022-12-11,Menta Albahaca Cebollín Campo Vivo  ...,$29.90,$29.90,25,GR
4,2022-12-11,Aguacate Orgánico Campo Vivo    3 Pi...,$89.90,$89.90,3,PZ
5,2022-12-11,Romero Orégano Salvia Estragón Eneld...,$29.90,$29.90,25,GR
6,2022-12-11,Ensalada De Espinaca Orgánica Campo ...,$79.90,$79.90,180,GR
7,2022-12-11,Tomate Bola Orgánico Mr Lucky    1 P...,$49.90,$49.90,1,PZ
8,2022-12-11,Cebollita De Rabo Alsuper Por Manojo,$8.90,$11.90,1,MA
9,2022-12-11,Jugo De Naranja Con Betabel Natural ...,$64.90,$89.90,1,LT
10,2022-12-11,Cebollita Cambray Alsuper Por Manojo,$7.90,$12.90,1,MA
11,2022-12-11,Jugo Mandarina Natural Alsuper    1 ...,$74.90,$119.90,1,LT
12,2022-12-11,Lechuga Italiana Orgánica Mr Lucky P...,$29.90,$29.90,1,PZ
13,2022-12-11,Lechuga Sangría Orgánica Mr Lucky   ...,$29.90,$29.90,1,PZ
14,2022-12-11,Toronja Orgánica Campo Vivo Por Piez...,$69.90,$69.90,1,PZ
15,2022-12-11,Cilantro Alsuper Por Manojo,$6.90,$9.90,1,MA
16,2022-12-11,Verdura Surtida Alsuper 930 G,$26.90,$39.90,930,GR
17,2022-12-11,Perejil Chino Alsuper Por Manojo,$10.90,$14.90,1,MA
18,2022-12-11,Mini Sandia Extra Dulce Alsuper Por ...,$22.90,$32.90,1,KG
19,2022-12-11,Perejil Liso Alsuper Por Manojo,$8.90,$14.90,1,MA
20,2022-12-11,Jugo Verde Dietético Natural Alsuper...,$59.90,$89.90,1,LT
21,2022-12-11,Jugo Manzana Natural A Natura 1.89 L...,$49.90,$49.90,1.89,LT
22,2022-12-11,Coctel Charola Premium Alsuper 1.35 ...,$89.90,$139.90,1.35,KG
23,2022-12-11,Pápalo Alsuper    1 Pieza,$12.90,$12.90,1,PZ
24,2022-12-11,Bok Choy Alsuper    1 Pieza,$38.90,$38.90,1,PZ
25,2022-12-11,Chícharo Chino Alsuper 300 G,$114.90,$114.90,300,GR
26,2022-12-11,Hoja Santa Alsuper    1 Pieza,$15.90,$15.90,1,PZ
27,2022-12-11,Betabel  Alsuper Por Manojo,$21.90,$27.90,1,MA
28,2022-12-11,Radiccio Alsuper Por Pieza,$49.90,$49.90,1,PZ
29,2022-12-11,Limón Amarillo Alsuper Por Kg,$69.90,$89.90,1,KG
30,2022-12-11,Champiñón Cremini Monte Blanco De 22...,$26.90,$37.90,225,GR
31,2022-12-11,Zanahoria Alsuper Por Kg,$14.90,$28.90,1,KG
32,2022-12-11,Acelgas Alsuper Por Manojo,$12.90,$15.90,1,MA
33,2022-12-11,Cebolla Blanca Orgánica Campo Vivo  ...,$56.90,$56.90,1,PZ
34,2022-12-11,Espinacas Alsuper Por Manojo,$12.90,$19.90,1,MA
35,2022-12-11,Coco Pelado Rebanado  Alsuper 350 G,$49.90,$49.90,350,GR
36,2022-12-11,Lechuga Francesa Hidropónica Eva    ...,$36.90,$56.90,1,PZ
37,2022-12-11,Lechuga Italiana Hidropónica Eva    ...,$36.90,$56.90,1,PZ
38,2022-12-11,Ensalada Primavera Hidropónica Eva 2...,$44.90,$44.90,250,GR
39,2022-12-11,Ensalada Toscana Hidropónica Eva 250...,$64.90,$64.90,250,GR
40,2022-12-11,Ensalada Mixta Hidropónica Eva 200 G,$44.90,$44.90,200,GR
41,2022-12-11,Lechuga Orejona Alsuper Por Pieza,$24.90,$49.90,1,PZ
42,2022-12-11,Chile De Árbol Alsuper 1 Kg,$149.90,$149.90/Kg,1,KG
43,2022-12-11,Champiñón Blanco Rebanado Monte Blan...,$27.90,$39.90,225,GR
44,2022-12-11,Champiñón Cremini Rebanado Monte Bla...,$27.90,$39.90,225,GR
45,2022-12-11,Hongo Portabelini  Monte Blanco De 2...,$29.90,$36.90,225,GR
46,2022-12-11,Lechuga Mini Francesa Hidropónica Ev...,$42.90,$42.90,1,PZ
47,2022-12-11,Rábano Manojo Alsuper Por Manojo,$9.90,$11.90,1,MA
48,2022-12-11,Papa Cambray Alsuper 600 G,$29.90,$37.90,600,GR
49,2022-12-11,Hinojo Bulbo Alsuper    1 Pieza,$34.99,$34.99,1,PZ
50,2022-12-11,Tomatillo Milpero Alsuper 454 G,$39.90,$39.90,454,GR
51,2022-12-11,Rábano Alsuper 435.3 G,$15.90,$17.90,1,LB
52,2022-12-11,Hongo Portabello Rebanado Monte Blan...,$67.90,$99.90,500,GR
53,2022-12-11,Okra Alsuper    1 Pieza,$35.90,$35.90,1,PZ
54,2022-12-11,Cúrcuma  Alsuper Por Kg,$39.90,$49.90,1,KG
55,2022-12-11,Hoja Mixiote Alsuper    1 Pieza,$25.90,$25.90,1,PZ
56,2022-12-11,Colinabo Alsuper 1 Kilogram,$39.90,$39.90/Kg,1,KG
57,2022-12-11,Ruibarbo Alsuper    1 Pieza,$16.90,$16.90,1,PZ
58,2022-12-11,Tomate Uva Alsuper 300 G,$29.90,$44.90,300,GR
59,2022-12-11,Chile Húngaro Alsuper Por Kg,$89.90,$89.90/Kg,1,KG
60,2022-12-11,Verdolagas Alsuper Por Manojo,$12.90,$12.90,1,MA
61,2022-12-11,Arugula Baby Alsuper 120 G,$49.90,$49.90,120,GR
62,2022-12-11,Lechuga Sucrine Fresh Garden    1 Pi...,$52.90,$52.90,1,PZ
63,2022-12-11,Floretes De Brócoli Mr Lucky 454 G,$42.90,$42.90,454,GR
64,2022-12-11,Ensalada Francesa Mr Lucky 200 G,$34.90,$34.90,200,GR
65,2022-12-11,Tuna Pelada Alsuper Por Kg,$79.90,$99.90,1,KG
66,2022-12-11,Pepino  Alsuper Por Kg,$26.90,$49.90,1,KG
67,2022-12-11,Camote Alsuper Por Kg,$34.90,$49.90,1,KG
68,2022-12-11,Jugo Antioxidante Natural Alsuper   ...,$89.90,$129.90,1,LT
69,2022-12-11,Naranja Escolar En Malla Alsuper Por...,$26.90,$41.90,1,KG
70,2022-12-11,Champiñón Blanco Monte Blanco Con 45...,$56.90,$84.90,450,GR
71,2022-12-11,Germinado De Brócoli Alsuper 100 G,$47.90,$47.90,100,GR
72,2022-12-11,Champiñón Cremini  Monte Blanco De 4...,$56.90,$86.90,450,GR
73,2022-12-11,Cilantro Orgánico Campo Vivo    1 Pi...,$25.90,$25.90,1,PZ
74,2022-12-11,Perejil Liso Orgánico Campo Vivo    ...,$25.90,$25.90,1,PZ
75,2022-12-11,Ciruela Alsuper Por Kg,$99.90,$154.90,1,KG
76,2022-12-11,Palitos De Apio Mr Lucky 400 G,$32.90,$32.90,400,GR
77,2022-12-11,Maracuyá Alsuper Por Kg,$64.90,$64.90/Kg,1,KG
78,2022-12-11,Coctel Individual Premium Alsuper De...,$25.90,$35.90,350,GR
79,2022-12-11,Coctel Con Yogurt Alsuper De 350 G,$34.90,$49.90,350,GR
80,2022-12-11,Ensalada Mexicana Hidropónica Eva 25...,$64.90,$64.90,250,GR
81,2022-12-11,Coco De Agua Alsuper Por Pieza,$24.90,$34.90,1,PZ
82,2022-12-11,Coctel Especial Premium Alsuper Por ...,$66.90,$99.90,1,KG
83,2022-12-11,Higo  Alsuper De 453 G,$69.90,$79.90,1,LB
84,2022-12-11,Chile Hungaro Tostado Alsuper 1 Kilo...,$28.99,$28.99/Kg,1,KG
85,2022-12-11,Melón Gota De Miel Alsuper Por Kg,$34.90,$49.90,1,KG
86,2022-12-11,Ensalada Italiana Orgánica Mr Lucky ...,$49.90,$49.90,284,GR
87,2022-12-11,Ensalada Francesa Orgánica Mr Lucky ...,$49.90,$49.90,200,GR
88,2022-12-11,Kiwi Alsuper Por Kg,$99.90,$149.90,1,KG
89,2022-12-11,Jugo De Limón Natural Alsuper 473 Ml,$59.90,$82.90,473,ML
90,2022-12-11,Espinacas En Bolsa Alsuper De 290 Gr...,$46.90,$59.90,290,GR
91,2022-12-11,Ensalada Mix Domo Alsuper 750 G,$59.90,$79.90,750,GR
92,2022-12-11,Ensalada Mexicana Domo Alsuper 750 G,$59.90,$89.90,750,GR
93,2022-12-11,Ensalada Suprema Domo Alsuper 750 G,$49.90,$74.90,750,GR
94,2022-12-11,Brochetas Vegetarianas  Alsuper    5...,$56.90,$84.90,5,PZ
95,2022-12-11,Corazón De Lechuga Orejona Orgánico ...,$54.90,$54.90,3,PZ
96,2022-12-11,Limón Agrio Sin Semilla  Alsuper Por...,$27.90,$49.90,1,KG
97,2022-12-11,Alfalfa Alsuper 100 G,$36.90,$36.90,100,GR
98,2022-12-11,Fenogreco Alsuper 100 G,$37.90,$37.90,100,GR
99,2022-12-11,Trigo Alsuper 150 G,$34.90,$34.90,150,GR
100,2022-12-11,Lenteja Alsuper 150 G,$37.90,$37.90,150,GR
101,2022-12-11,Nopal Picado Limpio Alsuper Por Kg,$38.90,$49.90,1,KG
102,2022-12-11,Tuna Dulce Alsuper Por Kg,$39.90,$59.90,1,KG
103,2022-12-11,Plátano Macho Alsuper Por Kg,$36.90,$46.90,1,KG
104,2022-12-11,Plátano Dominico Alsuper Por Kg,$36.90,$49.90,1,KG
105,2022-12-11,Plátano Morado Alsuper Por Kg,$36.90,$49.90,1,KG
106,2022-12-11,Tejocote Alsuper 1 Kg,$39.90,$59.90,1,KG
107,2022-12-11,Tomate Cherry Alsuper 300 G,$29.90,$44.90,300,GR
108,2022-12-11,Berenjena Alsuper Por Kg,$26.90,$79.90,1,KG
109,2022-12-11,Caña De Azúcar Alsuper    1 Pieza,$24.90,$34.90,1,PZ
110,2022-12-11,Pera Roja Alsuper Por Kg,$89.90,$119.90,1,KG
111,2022-12-11,Granada Alsuper Por Kg,$69.90,$149.90,1,KG
112,2022-12-11,Manzana Golden Delicias Alsuper Por ...,$46.90,$69.90,1,KG
113,2022-12-11,Cebolla Amarilla Alsuper Por Kg,$22.90,$36.90,1,KG
114,2022-12-11,Cebolla Morada Alsuper Por Kg,$39.90,$56.90,1,KG
115,2022-12-11,Hoja Para Tamal Mimarca 100 G,$17.90,$24.90,100,GR
116,2022-12-11,Poro Alsuper Por Pieza,$16.90,$16.90,1,PZ
117,2022-12-11,Repollo Morado Alsuper Por Kg,$26.90,$34.90,1,KG
118,2022-12-11,Romeritos Alsuper Por Kg,$24.90,$32.90,1,KG
119,2022-12-11,Alcachofa  Alsuper    1 Pieza,$79.90,$79.90,1,PZ
120,2022-12-11,Chilacayote Alsuper 1 Kg,$59.90,$59.90/Kg,1,KG
121,2022-12-11,Epazote Alsuper De 40 G,$10.90,$10.90,40,GR
122,2022-12-11,Esparrago Verde Alsuper Por Manojo,$99.90,$149.90,1,PZ
123,2022-12-11,Calabacita Alsuper Por Kg,$39.90,$49.90,1,KG
124,2022-12-11,Habas Verdes Alsuper 1 Kg,$49.90,$49.90/Kg,1,KG
125,2022-12-11,Hierbabuena Alsuper  40 G,$10.90,$10.90,40,GR
126,2022-12-11,Hierba Olor Alsuper  40 G,$10.90,$10.90,40,GR
127,2022-12-11,Hoja Naranjo Alsuper  40 G,$10.90,$10.90,40,GR
